gene,24h,47h,70h,94h,113h,142h
syringaldehyde,1.7,1.68,1.79,1.15,1.26,1
Vanillic aldehyde,1,1.28,1.52,1.51,1.42,2.14
coniferaldehyde,6.66,1,13.35,5.07,82.59,112.68
Guaiacol,2.54,1,2.24,2.99,2.35,2.56
Coumaric acid,1,2.11,1.55,1.77,2.3,1.76
Protocatechuic acid,1.94,1,2.14,4.16,1.65,3.4
P-hydroxybenzoic acid,3.47,1,6.5,6.09,1.11,1.54
Ferulic acid,1.07,1,1.4,1.31,5.3,5.18
Ethyl gallate,1.07,1,1.4,1.31,5.3,5.18
Butyl p-hydroxybenzoate,1,1.48,0.91,1.02,0.98,2.01
Dihydroxybenzoic acid,1.94,1,2.14,4.16,1.65,3.4